Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
基地：银河纵横,Foundation: Galactic Frontier,Confirmed,游戏名 | Game Name,,基地：星界無間,파운데이션: 우주 전선,ファウンデーション：銀河フロンティア,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Fundación: frontera galáctica,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Fondazione: Frontiera galattica,Foundation: Galactic Frontier,Fundação: Fronteira Galáctica,Foundation: Galactic Frontier,Foundation: Galactic Frontier,Foundation: Galactic Frontier
采集,Salvage,Feature,,,採集,채집,採集,Bärgning,Odzyskiwanie,Berging,Penyelamatan,Recuperación,Kurtarma,Thu Nhặt,Récupération,Bergen,Recupera,Добыча,Coleta,เก็บกู้,Kutipan,إنقاذ
采集奖励,Salvage Reward,Name,,,採集獎勵,채집 보상,採集報酬,Bärgningsbelöning,Nagroda za odzyskiwanie,Bergingsbeloning,Hadiah Penyelamatan,Recompensa de recuperación,Kurtarma Ödülü,Phần Thưởng Thu Nhặt,Récompense de récupération,Bergungsbelohnung,Ricompensa recupero,Награды за добычу,Recompensa de Coleta,รายงานการเก็บกู้,Ganjaran Kutipan,مكافأة الغنائم
超级宝箱,Super Chest,Bundle,,,超級寶箱,초월 보물상자,スーパーBOX,Superkista,Superskrzynia,Superkist,Peti Super,Supercofre,Süper Sandık,Rương Bất Ngờ,Super coffre,Supertruhe,Forziere prezioso,Суперкейс,Super Baú,หีบเด็คยอด,Peti Super,الصندوق الفائق
迭代,Promote,Name,,,迭代,개편,プロモート,Befordra,Awansuj,Promoveren,Promosikan,Ascender,Terfi Ettir,Thăng Cấp,Promouvoir,Befördern,Promuovi,Повысить,Promover,เลื่อนขั้น,Tingkatkan,الترقية
对决日,Duel Day,Event,,,對決日,결전의 날,対決の日,Duelldag,Dzień pojedynku,Dueldag,Hari Duel,Día del duelo,Düello Günü,Ngày Đối Đầu,Journée de duel,Duelltag,Giorno del duello,День поединка,Dia do Duelo,วันดวล,Hari Pertarungan,يوم المبارزة
对决战场,Battlefield Showdown,Event,商会对决所在地 | Commerce Guild Duel Battlefield,,對決戰場,결전 전투장,対決アリーナ,Uppgörelse på slagfältet,Starcie Pola Bitwy,Slagveldconfrontatie,Pertarungan Medan Tempur,Enfrentamiento en el campo de batalla,Savaş Alanı Hesaplaşması,Quyết Đấu Chiến Địa,Confrontation du champ de bataille,Schlachtfeld-Finale,Scontro sul campo di battaglia,Сражение на поле боя,Confronto no Campo de Batalha,การประลองยุทธ์ในสมรภูมิรบ,Pertarungan Medan Pertempuran,المواجهة في ساحة المعركة
对抗赛,Clash,Event,商会对抗赛 | Commerce Guild Clash,,對抗賽,대항전,対抗戦,Batalj,Starcie,Confrontatie,Bentrokan,Enfrentamiento,Çatışma,Trận Đối Đầu,Affrontement,Konflikt,Scontro,Поединок,Confronto,ปะทะ,Pertembungan,الاشتباك
飞船残骸,Combat Craft Debris,Name,商会中多人共同挖掘的残骸名称 | One of the debris excavated by the Guild,,飛船殘骸,함선 잔해,艦船残骸,Rester av stridsfarkost,Odłamek statku bojowego,Gevechtsschippuin,Puing Pesawat Tempur,Escombros de nave de combate,Savaş Gemisi Enkazı,Mảnh Vụn Chiến Hạm,Débris de vaisseau de combat,Kampfschifftrümmer,Rottami della navicella da combattimento,Обломки истребителя,Destroços do Veículo de Combate,เศษซากยานรบ,Serpihan Pesawat Tempur,حطام المركبات القتالية
护盾,Shield,Name,,,護盾,실드,シールド,Sköld,Tarcza,Schild,Perisai,Escudo,Kalkan,Khiên,Bouclier,Schild,Scudo,Щит,Escudo,โล่,Perisai,الدرع
今日对决,Today's Duel,Event,,,今日對決,일일 결투,本日の対決,Dagens duell,Pojedynek na dzisiaj,Duel van vandaag,Duel Hari Ini,Duelo de hoy,Bugünün Düellosu,Trận Đối Đầu Hôm Nay,Duel du jour,Heutiges Duell,Duello di oggi,Поединок дня,Duelo de Hoje,การดวลวันนี้,Pertarungan Hari Ini,مبارزة اليوم
今日奖励,Today's Rewards,Name,,,今日獎勵,일일 보상,デイリー報酬,Dagens belöningar,Nagrody na dzisiaj,Beloningen van vandaag,Hadiah Hari Ini,Recompensas de hoy,Bugünün Ödülleri,Phần Thưởng Hôm Nay,Récompenses du jour,Heutige Belohnungen,Ricompense di oggi,Награды дня,Recompensas de Hoje,รางวัลวันนี้,Ganjaran Hari Ini,مكافآت اليوم
基础建设,Infrastructure Development,Feature,,,基礎建設,기본 건설,基盤整備,Utveckling av infrastruktur,Rozwój infrastruktury,Infrastructuurontwikkeling,Pengembangan Infrastruktur,Desarrollo de infraestructura,Altyapı Gelişimi,Phát Triển Cơ Sở Hạ Tầng,Développement de l'infrastructure,Infrastrukturentwicklung,Sviluppo infrastruttura,Развитие инфраструктуры,Desenvolvimento de Infraestrutura,การพัฒนาโครงสร้างพื้นฐาน,Pembangunan Infrastruktur,تطوير البنية التحتية
扩军备战,Military Expansion,Feature,,,擴軍備戰,전력 확장,軍備拡張,Militär expansion,Ekspansja militarna,Militaire uitbreiding,Ekspansi Militer,Expansión militar,Askeri Büyüme,Tăng Cường Quân Đội,Expansion militaire,Militärische Expansion,Espansione militare,Военная экспансия,Expansão Militar,การขยายกำลังทหาร,Peluasan Tentera,التوسع العسكري
联合采集,Joint Salvage,Feature,,,聯合採集,공동 채집,共同採集,Samarbetsbärgning,Wspólne Odzyskiwanie,Gezamenlijke berging,Penyelamatan Bersama,Recuperación conjunta,Ortak Kurtarma,Thu Nhặt Chung,Récupération en groupe,Gemeinsame Bergung,Recupero di squadra,Совместная добыча,Coleta Conjunta,เก็บกู้ร่วม,Kutipan Bersama,الإنقاذ المشترك
诺维斯生命科技,Novis LifeTech,Name,,,諾維斯生命科技,노비스 생명공학,ノヴィスライフテック,Novis LivTeknik,Novis LifeTech,Novis LifeTech,Biotek Novis,Novis Biotecnología,Novis Yaşam Teknolojileri,Novis LifeTech,Novis Biotech,Novis Biotechnologie,TecnoVita Novis,Новис Лайфтех,Novis Biotech,โนวิส ไลฟ์เทค,Novis LifeTech,نوفيس لايف تك
培养人才,Talent Nurturing,Feature,,,培養人才,인재 양성,人材育成,Talangutveckling,Rozwijanie talentów,Talentontwikkeling,Pengembangan Bakat,Educación de talentos,Yetenek Yetiştirme,Nuôi Dưỡng Tài Năng,Développement des talents,Talentpflege,Coltivazione dei talenti,Воспитание талантов,Desenvolvimento de Talentos,การบ่มเพาะผู้มีความสามารถ,Asuhan Bakat,تنمية المواهب
全面冲刺,All-Out Sprint,Feature,,,全面衝刺,전력 질주,総力戦,Full sprint,Pełen sprint,Volle sprint,Lari Cepat Habis-Habisan,Carrera sin cuartel,Tüm Hızla Koşu,Tăng Tốc Toàn Diện,Sprint à tout va,Vollgas geben,Sprint completo,Максимальное ускорение,Corrida Total,วิ่งสุดพลัง,Pecutan Habis-habisan,اندفاع كامل
商会对决,Commerce Guild Duel,Event,,,商會對決,길드 대결,ギルド対決,Handelsgilleduellen,Pojedynek Gildii Handlowych,Handelsgildeduel,Duel Guild Perdagangan,Duelo de gremios de comercio,Ticaret Loncası Düellosu,Thương Hội Đối Đầu,Duel des guildes du commerce,Händlergilden-Duell,Duello della Gilda del commercio,Поединок торговых гильдий,Duelo da Guilda Comercial,การดวลสมาคมการค้า,Pertarungan Persatuan Perdagangan,مبارزة نقابة التجارة
声望,Reputation,Feature,,,聲望,명성,名声,Rykte,Reputacja,Reputatie,Reputasi,Reputación,İtibar,Danh Tiếng,Réputation,Ruf,Reputazione,Репутация,Reputação,ชื่อเสียง,Reputasi,السمعة
随机加速宝箱,Random Speedup Chest,Bundle,,,隨機加速寶箱,랜덤 가속 보물상자,ランダムブーストBOX,Slumpkista med påskyndare,Skrzynia z losowym przyspieszeniem,Kist met willekeurige versnellers,Peti Percepatan Acak,Cofre de aceleración aleatoria,Rastgele Hızlandırma Sandığı,Rương Tăng Tốc Ngẫu Nhiên,Coffre aléatoire d'accélération,Zufällige Beschleunigungstruhe,Forziere accelerazione casuale,Случайный кейс: ускорители,Baú de Aceleração Aleatório,หีบเร่งความเร็วแบบสุ่ม,Peti Pencepat Rawak,صندوق التسريع العشوائي
